MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME
January-2020,112.03,1,11203,Census Tract 112.03
January-2020,113.0,5,11300,Census Tract 113
January-2020,114.0,7,11400,Census Tract 114
January-2020,114.01,1,11401,Census Tract 114.01
January-2020,116.0,3,11600,Census Tract 116
January-2020,117.0,1,11700,Census Tract 117
January-2020,118.0,1,11800,Census Tract 118
January-2020,119.0,1,11900,Census Tract 119
January-2020,119.02,3,11902,Census Tract 119.02
January-2020,120.0,1,12000,Census Tract 120
January-2020,121.01,1,12101,Census Tract 121.01
January-2020,121.02,1,12102,Census Tract 121.02
January-2020,122.0,4,12200,Census Tract 122
January-2020,123.01,3,12301,Census Tract 123.01
January-2020,123.03,2,12303,Census Tract 123.03
January-2020,123.04,4,12304,Census Tract 123.04
January-2020,125.0,1,12500,Census Tract 125
January-2020,126.0,1,12600,Census Tract 126
January-2020,128.02,1,12802,Census Tract 128.02
January-2020,129.0,2,12900,Census Tract 129
January-2020,129.01,1,12901,Census Tract 129.01
January-2020,130.0,4,13000,Census Tract 130
January-2020,131.04,4,13104,Census Tract 131.04
January-2020,132.01,1,13201,Census Tract 132.01
January-2020,132.02,3,13202,Census Tract 132.02
January-2020,133.0,1,13300,Census Tract 133
January-2020,134.0,1,13400,Census Tract 134
January-2020,135.0,2,13500,Census Tract 135
January-2020,136.0,3,13600,Census Tract 136
January-2020,137.0,3,13700,Census Tract 137
January-2020,138.0,5,13800,Census Tract 138
January-2020,139.0,11,13900,Census Tract 139
January-2020,140.0,2,14000,Census Tract 140
January-2020,141.0,3,14100,Census Tract 141
January-2020,143.0,2,14300,Census Tract 143
January-2020,144.0,3,14400,Census Tract 144
January-2020,145.0,4,14500,Census Tract 145
January-2020,146.06,2,14606,Census Tract 146.06
January-2020,147.03,1,14703,Census Tract 147.03
January-2020,148.02,1,14802,Census Tract 148.02
January-2020,148.05,1,14805,Census Tract 148.05
January-2020,148.06,1,14806,Census Tract 148.06
January-2020,148.1,1,14810,Census Tract 148.10
January-2020,148.11,1,14811,Census Tract 148.11
January-2020,149.0,1,14900,Census Tract 149
January-2020,150.02,1,15002,Census Tract 150.02
January-2020,153.0,1,15300,Census Tract 153
January-2020,155.0,2,15500,Census Tract 155
January-2020,157.0,3,15700,Census Tract 157
January-2020,159.0,1,15900,Census Tract 159
January-2020,160.0,1,16000,Census Tract 160
January-2020,161.0,1,16100,Census Tract 161
January-2020,166.0,3,16600,Census Tract 166
January-2020,169.0,1,16900,Census Tract 169
January-2020,171.0,2,17100,Census Tract 171
January-2020,173.0,1,17300,Census Tract 173
January-2020,174.02,1,17402,Census Tract 174.02
January-2020,179.0,1,17900,Census Tract 179
January-2020,183.0,1,18300,Census Tract 183
January-2020,185.02,1,18502,Census Tract 185.02
January-2020,189.0,3,18900,Census Tract 189
January-2020,193.0,3,19300,Census Tract 193
January-2020,195.0,1,19500,Census Tract 195
January-2020,197.01,1,19701,Census Tract 197.01
January-2020,199.0,3,19900,Census Tract 199
January-2020,201.02,1,20102,Census Tract 201.02
January-2020,205.0,1,20500,Census Tract 205
January-2020,208.0,1,20800,Census Tract 208
January-2020,212.0,1,21200,Census Tract 212
January-2020,213.02,2,21302,Census Tract 213.02
January-2020,215.01,1,21501,Census Tract 215.01
January-2020,217.0,1,21700,Census Tract 217
January-2020,218.0,1,21800,Census Tract 218
January-2020,221.01,1,22101,Census Tract 221.01
January-2020,225.0,1,22500,Census Tract 225
January-2020,227.0,1,22700,Census Tract 227
January-2020,229.01,1,22901,Census Tract 229.01
January-2020,230.0,1,23000,Census Tract 230
January-2020,232.0,1,23200,Census Tract 232
January-2020,235.0,1,23500,Census Tract 235
January-2020,236.0,1,23600,Census Tract 236
January-2020,237.0,2,23700,Census Tract 237
January-2020,240.0,1,24000,Census Tract 240
January-2020,242.0,1,24200,Census Tract 242
January-2020,248.0,1,24800,Census Tract 248
January-2020,251.0,1,25100,Census Tract 251
January-2020,256.0,1,25600,Census Tract 256
January-2020,260.0,1,26000,Census Tract 260
January-2020,263.0,1,26300,Census Tract 263
January-2020,265.0,1,26500,Census Tract 265
January-2020,266.02,1,26602,Census Tract 266.02
January-2020,267.01,1,26701,Census Tract 267.01
January-2020,280.0,1,28000,Census Tract 280
January-2020,295.0,1,29500,Census Tract 295
January-2020,324.0,1,32400,Census Tract 324
January-2020,326.0,1,32600,Census Tract 326
January-2020,335.0,1,33500,Census Tract 335
January-2020,340.0,1,34000,Census Tract 340
January-2020,364.0,1,36400,Census Tract 364
January-2020,385.0,1,38500,Census Tract 385
January-2020,426.0,2,42600,Census Tract 426
January-2020,456.0,2,45600,Census Tract 456
January-2020,460.0,1,46000,Census Tract 460
January-2020,462.01,1,46201,Census Tract 462.01
January-2020,462.02,1,46202,Census Tract 462.02
January-2020,516.0,9,51600,Census Tract 516
January-2020,518.0,1,51800,Census Tract 518
January-2020,716.0,1,71600,Census Tract 716
January-2020,757.01,1,75701,Census Tract 757.01
January-2020,779.02,5,77902,Census Tract 779.02
January-2020,779.03,2,77903,Census Tract 779.03
January-2020,779.04,1,77904,Census Tract 779.04
January-2020,779.05,1,77905,Census Tract 779.05
January-2020,779.06,1,77906,Census Tract 779.06
January-2020,797.02,1,79702,Census Tract 797.02
January-2020,803.01,2,80301,Census Tract 803.01
January-2020,803.02,4,80302,Census Tract 803.02
January-2020,809.0,2,80900,Census Tract 809
January-2020,837.0,1,83700,Census Tract 837
January-2020,869.0,2,86900,Census Tract 869
January-2020,871.0,2,87100,Census Tract 871
January-2020,889.01,1,88901,Census Tract 889.01
January-2020,997.01,1,99701,Census Tract 997.01
January-2020,997.05,1,99705,Census Tract 997.05
January-2020,1093.0,1,109300,Census Tract 1093
January-2020,1113.0,1,111300,Census Tract 1113
January-2020,1123.0,1,112300,Census Tract 1123
January-2020,1129.0,1,112900,Census Tract 1129
January-2020,1151.0,1,115100,Census Tract 1151
January-2020,1163.0,1,116300,Census Tract 1163
January-2020,1167.0,1,116700,Census Tract 1167
January-2020,1175.0,5,117500,Census Tract 1175
January-2020,1181.0,1,118100,Census Tract 1181
January-2020,1193.0,2,119300,Census Tract 1193
January-2020,1215.0,1,121500,Census Tract 1215
January-2020,1223.0,2,122300,Census Tract 1223
January-2020,1247.0,3,124700,Census Tract 1247
January-2020,1265.0,2,126500,Census Tract 1265
January-2020,1267.0,2,126700,Census Tract 1267
January-2020,1291.03,2,129103,Census Tract 1291.03
January-2020,1333.0,3,133300,Census Tract 1333
January-2020,1347.0,1,134700,Census Tract 1347
January-2020,1367.0,1,136700,Census Tract 1367
January-2020,1403.0,2,140300,Census Tract 1403
January-2020,1409.01,1,140901,Census Tract 1409.01
January-2020,1441.0,1,144100,Census Tract 1441
January-2020,1459.0,1,145900,Census Tract 1459
January-2020,1467.0,2,146700,Census Tract 1467
January-2020,1471.0,1,147100,Census Tract 1471
January-2020,1483.0,2,148300,Census Tract 1483
January-2020,1529.01,1,152901,Census Tract 1529.01
January-2020,1551.02,6,155102,Census Tract 1551.02
January-2020,1571.01,1,157101,Census Tract 1571.01
January-2020,1571.02,1,157102,Census Tract 1571.02
January-2020,1579.01,4,157901,Census Tract 1579.01
January-2020,1617.0,2,161700,Census Tract 1617
January-2020,9810.0,1,981000,Census Tract 9810
July-2019,48.0,1,4800,Census Tract 48
July-2019,50.02,1,5002,Census Tract 50.02
July-2019,69.0,1,6900,Census Tract 69
July-2019,83.02,1,8302,Census Tract 83.02
July-2019,89.0,1,8900,Census Tract 89
July-2019,104.0,1,10400,Census Tract 104
July-2019,106.0,1,10600,Census Tract 106
July-2019,113.0,1,11300,Census Tract 113
July-2019,121.01,1,12101,Census Tract 121.01
July-2019,131.02,1,13102,Census Tract 131.02
July-2019,237.0,1,23700,Census Tract 237
July-2019,398.0,1,39800,Census Tract 398
June-2018,1199.0,1,119900,Census Tract 1199
June-2019,9.0,1,900,Census Tract 9
June-2019,13.02,1,1302,Census Tract 13.02
June-2019,74.01,2,7401,Census Tract 74.01
June-2019,77.0,1,7700,Census Tract 77
June-2019,81.0,1,8100,Census Tract 81
June-2019,94.0,1,9400,Census Tract 94
June-2019,114.0,1,11400,Census Tract 114
June-2019,126.0,1,12600,Census Tract 126
June-2019,132.01,1,13201,Census Tract 132.01
June-2019,137.0,1,13700,Census Tract 137
June-2019,170.0,1,17000,Census Tract 170
June-2019,1417.0,1,141700,Census Tract 1417
June-2019,1621.0,1,162100,Census Tract 1621
March-2019,9.0,1,900,Census Tract 9
March-2019,17.0,1,1700,Census Tract 17
March-2019,24.03,1,2403,Census Tract 24.03
March-2019,74.02,1,7402,Census Tract 74.02
March-2019,92.0,1,9200,Census Tract 92
March-2019,143.0,1,14300,Census Tract 143
May-2018,63.0,1,6300,Census Tract 63
May-2019,17.0,1,1700,Census Tract 17
May-2019,21.0,1,2100,Census Tract 21
May-2019,31.0,1,3100,Census Tract 31
May-2019,41.0,1,4100,Census Tract 41
May-2019,68.0,1,6800,Census Tract 68
May-2019,69.0,1,6900,Census Tract 69
May-2019,80.0,1,8000,Census Tract 80
May-2019,81.0,1,8100,Census Tract 81
May-2019,809.0,1,80900,Census Tract 809
November-2018,1039.0,1,103900,Census Tract 1039
November-2019,6.0,1,600,Census Tract 6
November-2019,13.02,1,1302,Census Tract 13.02
November-2019,14.02,1,1402,Census Tract 14.02
November-2019,15.01,1,1501,Census Tract 15.01
November-2019,16.0,1,1600,Census Tract 16
November-2019,21.01,2,2101,Census Tract 21.01
November-2019,21.05,1,2105,Census Tract 21.05
November-2019,22.03,1,2203,Census Tract 22.03
November-2019,34.0,1,3400,Census Tract 34
November-2019,44.0,2,4400,Census Tract 44
November-2019,45.0,2,4500,Census Tract 45
November-2019,46.0,1,4600,Census Tract 46
November-2019,63.0,3,6300,Census Tract 63
November-2019,65.0,1,6500,Census Tract 65
November-2019,66.0,1,6600,Census Tract 66
November-2019,67.0,2,6700,Census Tract 67
November-2019,68.01,2,6801,Census Tract 68.01
November-2019,68.02,3,6802,Census Tract 68.02
November-2019,69.0,1,6900,Census Tract 69
November-2019,70.0,1,7000,Census Tract 70
November-2019,71.0,1,7100,Census Tract 71
November-2019,72.0,1,7200,Census Tract 72
November-2019,75.0,1,7500,Census Tract 75
November-2019,76.0,1,7600,Census Tract 76
November-2019,78.0,1,7800,Census Tract 78
November-2019,80.0,1,8000,Census Tract 80
November-2019,83.02,1,8302,Census Tract 83.02
November-2019,85.0,1,8500,Census Tract 85
November-2019,89.01,1,8901,Census Tract 89.01
November-2019,96.0,1,9600,Census Tract 96
November-2019,100.0,2,10000,Census Tract 100
November-2019,102.0,1,10200,Census Tract 102
November-2019,109.0,2,10900,Census Tract 109
November-2019,111.01,1,11101,Census Tract 111.01
November-2019,114.0,2,11400,Census Tract 114
November-2019,119.02,1,11902,Census Tract 119.02
November-2019,122.0,1,12200,Census Tract 122
November-2019,123.01,1,12301,Census Tract 123.01
November-2019,130.0,1,13000,Census Tract 130
November-2019,132.01,1,13201,Census Tract 132.01
November-2019,137.0,1,13700,Census Tract 137
November-2019,143.0,1,14300,Census Tract 143
November-2019,148.11,1,14811,Census Tract 148.11
November-2019,164.0,1,16400,Census Tract 164
November-2019,201.0,1,20100,Census Tract 201
November-2019,222.0,1,22200,Census Tract 222
November-2019,237.02,1,23702,Census Tract 237.02
November-2019,277.0,1,27700,Census Tract 277
November-2019,318.0,1,31800,Census Tract 318
November-2019,351.0,1,35100,Census Tract 351
November-2019,462.01,1,46201,Census Tract 462.01
November-2019,463.0,1,46300,Census Tract 463
November-2019,803.02,1,80302,Census Tract 803.02
November-2019,939.0,1,93900,Census Tract 939
November-2019,945.0,1,94500,Census Tract 945
November-2019,1113.0,1,111300,Census Tract 1113
November-2019,1205.0,1,120500,Census Tract 1205
November-2019,1257.0,1,125700,Census Tract 1257
November-2019,1277.0,1,127700,Census Tract 1277
November-2019,1291.02,1,129102,Census Tract 1291.02
November-2019,1347.0,1,134700,Census Tract 1347
November-2019,1399.0,1,139900,Census Tract 1399
November-2019,1409.01,1,140901,Census Tract 1409.01
November-2019,1417.0,2,141700,Census Tract 1417
November-2019,1467.0,1,146700,Census Tract 1467
November-2019,1551.02,3,155102,Census Tract 1551.02
November-2019,1579.01,1,157901,Census Tract 1579.01
October-2019,13.02,1,1302,Census Tract 13.02
October-2019,22.04,1,2204,Census Tract 22.04
October-2019,39.0,1,3900,Census Tract 39
October-2019,50.02,1,5002,Census Tract 50.02
October-2019,54.0,1,5400,Census Tract 54
October-2019,63.0,1,6300,Census Tract 63
October-2019,67.0,1,6700,Census Tract 67
October-2019,68.02,1,6802,Census Tract 68.02
October-2019,79.0,1,7900,Census Tract 79
October-2019,83.02,4,8302,Census Tract 83.02
October-2019,97.02,1,9702,Census Tract 97.02
October-2019,100.0,1,10000,Census Tract 100
October-2019,109.02,1,10902,Census Tract 109.02
October-2019,112.02,1,11202,Census Tract 112.02
October-2019,112.03,1,11203,Census Tract 112.03
October-2019,120.0,2,12000,Census Tract 120
October-2019,131.04,1,13104,Census Tract 131.04
October-2019,149.0,1,14900,Census Tract 149
October-2019,216.0,1,21600,Census Tract 216
October-2019,217.03,1,21703,Census Tract 217.03
October-2019,403.03,1,40303,Census Tract 403.03
October-2019,799.0,1,79900,Census Tract 799
October-2019,907.0,1,90700,Census Tract 907
October-2019,1409.01,1,140901,Census Tract 1409.01
October-2019,1551.02,1,155102,Census Tract 1551.02
September-2019,9.0,1,900,Census Tract 9
September-2019,13.03,1,1303,Census Tract 13.03
September-2019,32.0,1,3200,Census Tract 32
September-2019,35.0,1,3500,Census Tract 35
September-2019,47.0,1,4700,Census Tract 47
September-2019,67.0,1,6700,Census Tract 67
September-2019,72.0,2,7200,Census Tract 72
September-2019,76.0,1,7600,Census Tract 76
September-2019,81.0,1,8100,Census Tract 81
September-2019,91.0,1,9100,Census Tract 91
September-2019,103.0,1,10300,Census Tract 103
September-2019,110.0,1,11000,Census Tract 110
September-2019,111.0,1,11100,Census Tract 111
September-2019,112.02,1,11202,Census Tract 112.02
September-2019,113.0,2,11300,Census Tract 113
September-2019,114.0,1,11400,Census Tract 114
September-2019,119.0,1,11900,Census Tract 119
September-2019,131.04,1,13104,Census Tract 131.04
September-2019,132.01,1,13201,Census Tract 132.01
September-2019,947.0,1,94700,Census Tract 947
September-2019,1175.0,1,117500,Census Tract 1175
September-2019,1429.0,1,142900,Census Tract 1429
September-2019,1459.0,1,145900,Census Tract 1459
September-2019,1463.0,1,146300,Census Tract 1463
September-2019,1507.02,1,150702,Census Tract 1507.02
